precio,estacionamientos,recamaras,baños,habitaciones,agnio.construccion,construccion,terreno,calle.domicilio,colonia.fraccionamiento,ciudad,descripcion,,,,,,,,,,,,,,
2200000.00,2,3,3,6,2020,203,160,15 de Mayo (Tapias)- Durango,,Durango,Ubicado en la zona con el aire más limpio de la ciudad- éste nuevo complejo privado cuenta con barda perimetral- caseta de vigilancia- servicios subterráneos- amplias áreas verdes- área de juegos infantiles y circuito para caminar.,,,,,,,,,,,,,,
960000.00,1,3,2,5,2020,162,90,Mina Santa Cruz Acereros- Durango,Fraccionamiento Acereros,Durango,A 5 minutos de Walmart Felipe Pescador y Sams Club- muy cerca a salida a Parral- Casa de 2 plantas con recamara en planta baja,,,,,,,,,,,,,,
660000.00,,3,1,4,2020,73,112,girasol Benito Juárez- Durango,Fraccionamiento Colibri,Durango,Fraccionamiento COLIBRI Casas unifamiliar con ecotecnologías- cuentan tres recámaras- con áreas verdes para su esparcimiento y diversión- ideales para vivir en familia- listas para adquirirse con crédito Infonavit- Fovissste o Bancario- cuenta con todos los servicios y cerca de escuelas y centros comerciales,,,,,,,,,,,,,,
830000.00,0,3,1,4,2003,103,123,Salina Cruz Miramar- Durango,,Durango,,,,,,,,,,,,,,,
1750000.00,1,3,2,5,2020,154,130,Doña Berta Residencial Santa Teresa- Durango,,Durango,Ubicada en una privada dentro del Fraccionamiento Residencial San Fernanda ofrecemos a la venta esta moderna casa en venta construida en dos niveles- planta baja sala- comedor- cocina - cuarto de lavado independiente- patio y medio baño.,,,,,,,,,,,,,,
580000.00,0,3,1,4,2020,65,103,mina de gavilanes Acereros- Durango,Fraccionamiento Acereros,Durango,localizada a escasos metros del área de recreación- pista Skateboarding- localizada a pocos metro de la avenida principal de acceso al Fraccionamiento- una casa de un sola planta de reciente construcción- acabados de muy buena calidad- y espacios adecuados para tu inversión- distribuida en una sola planta- con cochera techada para un auto- área de sala comedor y cocina conectadas- además de dos habitaciones con espacio para closet y un bañó completo- lista para tu familia!!!,,,,,,,,,,,,,,
630000.00,0,4,1,5,2020,73,112,Dali Real Victoria II- Durango,Fraccionamiento Real Victoria II,Durango,,,,,,,,,,,,,,,
850000,0,3,1,4,2000,117,200,Bulevar Durango Diana Laura R de Colosio,Colonia Diana Laura Riojas,Durango,Casa en Esquina una sola planta distribuida de la siguiente manera tres recamaras- un baño completo- sala- cocina que incluye cocina integral con barra - cuenta con un patio en la parte posterior muy amplio con la posibilidad de hacer alguna adecuación o ampliación a la vivienda- se encuentra sobre una de la Avenidas totalmente comerciales de la zona- muy cerca a vías de rápido acceso -cerca de Escuelas y de Tiendas de Autoservicio.,,,,,,,,,,,,,,
920000.00,,2,2,4,1995,132,160,General Felix Duron Domingo Arrieta,Fraccionamiento Domingo Arrieta,Durango,Casa ubicada en Fraccionamiento Domingo Arrieta construida en una sola planta- tres recamaras- dos patios cochera con portón eléctrico-calle pavimentada-aplica tu crédito en esta propiedad..,,,,,,,,,,,,,,
950000.00,1,1,1,2,2020,144,144,Del Bosque,Blvd Guadiana,Durango,Se vende casa como terreno con doble entrada por blvd guadiana y privada.,,,,,,,,,,,,,,
4950000.00,1,5,3,7,,606,450,Centro,Centro,Durango,Casa Antigua Colonial en Venta en CENTRO HISTÒRICO de Durango se encuentra en una de las calles más antiguas y más importantes del centro de la ciudad de Durango- Patrimonio de la Humanidad- esta mansión histórica con su hermosa e impecable fachada para diferentes usos (Oficinas- Restaurante- Casa Habitación- Museo) ubicado en Zona Centro- tiene Terreno de 606 m2 y 450 m2 de Construcción en 1 plantas- consta de Pasillo de Acceso- Patio Principal con Domo al centro- 3 recamaras- 2 Baños - sala- zaguán y patio trasero- Construcción de Adobe y Ladrillo- Almacén- Espacio comunicado con zaguán - consta de Área con comedor y cocina - se pueden observar pisos de la época- con muros recubrimientos de enjarres con acabado fino y pintura vinílica- la Carpintería en puertas con madera fina con tinte y barniz con trabajo artístico- techos de viguetas y vigas de madera tratadas con tableta y mezcla en azoteas- marcos- pretiles y cornisas de cantera en fachada- la Herrería la tradicional de la época- Arcos en corredores con cantera de la región. NOTA: ES UN INMUEBLE CON VALOR HISTÓRICO,,,,,,,,,,,,,,
2100000.00,0,4,2,6,2010,151,151,Zarco,Centro,Durango,Se Vende Casa Céntrica Con vocación Comercial Remodelada en la calle Zarco- Zona Centro de Durango- Dgo- Mex.- Ideal Para Escuelas- Oficinas- Remodelada,,,,,,,,,,,,,,
750000.00,3,2,1,4,2019,100,150,,Col. El Paraíso Durango,Durango,"Casa en Venta en Col. El Paraíso Durango
1 nivel- 2 recámaras- 1 baño completo- cocina- sala comedor- patio- 3 cocheras. 150 m2 de superficie- 100 m2 de construcción.",,,,,,,,,,,,,,
640000.00,1,2,1,5,,60,90,,Fracc San Angel,Durango,"1 nivel- 2 recámaras- 1 baño- cocina integral- sala- comedor- patio de servicio- cochera para 1 auto. La casa cuenta con algo de obra para agrandar (sala y recámara principal). 90 m2 de superficie- 60 m2 de construcción. Fraccionamiento ubicado en Salida Mazatlán. Aún se debe crédito Infonavit. Previa cita.
",,,,,,,,,,,,,,
462000.00,1,2,1,4,2020,47,90,Cristóbal Colón,Carril 2000,Durango,"Conoce este nuevo fraccionamiento con viviendas ideaes para ti y tu familia.
Esta casa cuenta con 2 recámaras- sala-comedor- cocina- patio de servicio y cochera para un auto.
SE ACEPTAN TODOS LOS TIPOS DE CRÉDITO.",,,,,,,,,,,,,,
3200000.00,2,4,2,6,,315.23,300,Paseo de las Águias,Real del Mezquital,Durango,Bonita casa en venta en calle paseo de las Águilas Fraccionamiento real del mezquital cuenta con alarmas- cercado eléctrico- cámaras de vigilancia interior y exterior y sensores de movimiento- cuenta con cisterna con capacidad de 5-000 litros- cocina con granito verde- cuarto de servicio- dos de los baños cuenta con vapor uno incluye jacuzzi.,,,,,,,,,,,,,,
3250000.00,2,3,3,6,,296.59,196.76,SN,Jardines de Durango,Durango,En uno de los Fraccionamientos mas funcionales de esta cuidad- cercana a escuelas- universidades- centros comerciales y avenidas de gran afluencia,,,,,,,,,,,,,,
2918000.00,3,3,4,7,,338,199,Aldama,Colonia IV centenario,Durango,Casa en venta de 2 plantas con una capacidad para hasta 3 coches en plata baja 2 cocinas (una se puede utilizar para área de juegos u oficina)- un patio al frente con una área de descanso- cuarto de lavado con medio baño- en la parte de adentro sala comedor con medio baño ,,,,,,,,,,,,,,
1290000.00,0,2,1,3,,160,132,SN,Tierra y Libertad,Durango,Con tres frentes y dos esquinas además de estar sobre Bulevar Guadiana- se convierte en una excelente oportunidad de negocio- ideal para casa habitación de renta- consultorio u oficinas- ademas de los dos locales comerciales la hacen muy atractiva para la inversión,,,,,,,,,,,,,,
585000.00,0,2,1,3,,52.4,90,Valeriana,San Isidro,Durango,Casa de dos habitaciones en venta- distribuido en una planta- dos habitaciones- un baño completo- área de sala comedor cocina comunicados- patio de servicio con espacio de jardín- y cochera para un auto en Fraccionamiento Ciudad San Isidro,,,,,,,,,,,,,,
8200000.00,1,4,4,8,2020,512,512,,Villa Dorada,Durango,,,,,,,,,,,,,,,
2300000.00,2,3,2,5,2020,242,200,avenida de las Rosas ,Jardines de Durango,Durango,"PLANTA BAJA cochera para dos autos con portón eléctrico- y jardinera- comedor- sala con chimenea- cocina y patio de lavandería. Medio baño de visitas y recamara con closet y baño completo.
PLANTA ALTA dos recamaras con closet y un baño completo compartido- estudio. ",,,,,,,,,,,,,,
720000.00,1,3,1,4,2020,66,128,,Los Duraznos,Durango,,,,,,,,,,,,,,,
1750000.00,1,3,2,5,2020,154,130,,San Fernanda,Durango,moderna casa en venta construida en dos niveles- planta baja sala- comedor- cocina - cuarto de lavado independiente- patio y medio baño- Mientras que en planta alta encontraras tres amplias habitaciones la principal con baño completo y un baño mas que es compartido por el resto de las alcobas.,,,,,,,,,,,,,,
960000.00,1,3,2,5,2020,162,90,,Acereros,Durango,Casa de 2 plantas con recamara en planta baja- baño completo- patio- cuarto de servicio- cochera techada- portón eléctrico- La planta de arriba con baño completo y tina de jacuzzy- 2 recamaras- balcón- y terraza.,,,,,,,,,,,,,,
1400000.00,1,3,1.5,4.5,,100,184,Centro,Centro,Durango,,,,,,,,,,,,,,,
2850000.00,2,4,3,4,,208,235,Pasteur,,Durango,,,,,,,,,,,,,,,
1455000.00,2,3,2.5,3,,148,112,,Fraccionamiento Nueva Providencia,Durango,,,,,,,,,,,,,,,
1200000.00,1,3,1.5,6,,115,112,,Fraccionamiento Las Nubes,Durango,,,,,,,,,,,,,,,
462000.00,1,2,1,4,,90,47,,Fraccionamiento Pirineos,Durango,,,,,,,,,,,,,,,
3450000.00,2,3,2,7,,200,280,,Fraccionamiento Linda Vista,Durango,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
